지점,지점명,일시,평균기온(°C)
304,신지도,2018-08,27.7
304,신지도,2018-09,22
304,신지도,2018-10,15.9
304,신지도,2018-11,11.2
304,신지도,2018-12,5.2
304,신지도,2019-01,3.7
304,신지도,2019-02,4.9
304,신지도,2019-03,8.9
304,신지도,2019-04,12.5
304,신지도,2019-05,17.9
304,신지도,2019-06,20.3
304,신지도,2019-07,23.5
304,신지도,2019-08,25.9
304,신지도,2019-09,22.6
304,신지도,2019-10,17.9
304,신지도,2019-11,12.3
304,신지도,2019-12,6.2
305,여서도,2015-01,5.8
305,여서도,2015-02,5.8
305,여서도,2015-03,9
305,여서도,2015-04,13.4
305,여서도,2015-05,17.7
305,여서도,2015-06,20.1
305,여서도,2015-07,23.4
305,여서도,2015-08,25.5
305,여서도,2015-09,22.8
305,여서도,2015-10,18.3
305,여서도,2015-11,14.3
305,여서도,2015-12,9
305,여서도,2016-01,4.9
305,여서도,2016-02,6
305,여서도,2016-03,9.8
305,여서도,2016-04,14.5
305,여서도,2016-05,17.7
305,여서도,2016-06,20.8
305,여서도,2016-07,25.6
305,여서도,2016-08,27.5
305,여서도,2016-09,23.4
305,여서도,2016-10,19.4
305,여서도,2016-11,12.6
305,여서도,2016-12,8.4
305,여서도,2017-01,5.3
305,여서도,2017-02,5.5
305,여서도,2017-03,9.1
305,여서도,2017-04,14.5
305,여서도,2017-05,18
305,여서도,2017-06,20.6
305,여서도,2017-07,27
305,여서도,2017-08,27.2
305,여서도,2017-09,23.2
305,여서도,2017-10,18.8
305,여서도,2017-11,11.7
305,여서도,2017-12,5.7
305,여서도,2018-01,3.6
305,여서도,2018-02,4.8
305,여서도,2018-03,10.2
305,여서도,2018-04,14.4
305,여서도,2018-05,17.7
305,여서도,2018-06,21.5
305,여서도,2018-07,26.1
305,여서도,2018-08,27.6
305,여서도,2018-09,22.5
305,여서도,2018-10,17.2
305,여서도,2018-11,13.1
305,여서도,2018-12,7.1
305,여서도,2019-01,5.1
305,여서도,2019-02,6.4
305,여서도,2019-03,9.8
305,여서도,2019-04,13.1
305,여서도,2019-05,17.8
305,여서도,2019-06,20.1
305,여서도,2019-07,23.4
305,여서도,2019-08,25.5
305,여서도,2019-09,22.7
305,여서도,2019-10,18.9
305,여서도,2019-11,13.9
305,여서도,2019-12,8.7
306,소리도,2015-01,5.3
306,소리도,2015-02,5.6
306,소리도,2015-03,8.9
306,소리도,2015-04,13.1
306,소리도,2015-05,17.3
306,소리도,2015-06,20.1
306,소리도,2015-07,23
306,소리도,2015-08,25.3
306,소리도,2015-09,22.3
306,소리도,2015-10,18.2
306,소리도,2015-11,14.1
306,소리도,2015-12,8.6
306,소리도,2016-01,4.3
306,소리도,2016-02,5.7
306,소리도,2016-03,9.6
306,소리도,2016-04,14.2
306,소리도,2016-05,17.9
306,소리도,2016-06,21
306,소리도,2016-07,24.7
306,소리도,2016-08,27.2
306,소리도,2016-09,23.3
306,소리도,2016-10,19.2
306,소리도,2016-11,12.6
306,소리도,2016-12,8
306,소리도,2017-01,4.9
306,소리도,2017-02,5.4
306,소리도,2017-03,8.7
306,소리도,2017-04,14.3
306,소리도,2017-05,17.9
306,소리도,2017-06,20.3
306,소리도,2017-07,25.3
306,소리도,2017-08,27.1
306,소리도,2017-09,22.9
306,소리도,2017-10,18.6
306,소리도,2017-11,11.7
306,소리도,2017-12,5.1
306,소리도,2018-01,3.1
306,소리도,2018-02,4.5
306,소리도,2018-03,9.8
306,소리도,2018-04,13.9
306,소리도,2018-05,17.5
306,소리도,2018-06,21
306,소리도,2018-07,25.8
306,소리도,2018-08,27.6
306,소리도,2018-09,22.3
306,소리도,2018-10,16.9
306,소리도,2018-11,12.5
306,소리도,2018-12,6.9
306,소리도,2019-01,5.1
306,소리도,2019-02,6.6
306,소리도,2019-03,9.9
306,소리도,2019-04,12.5
306,소리도,2019-05,17.5
306,소리도,2019-06,20.2
306,소리도,2019-07,23.2
306,소리도,2019-08,26
306,소리도,2019-09,22.7
306,소리도,2019-10,18.7
306,소리도,2019-11,13.3
306,소리도,2019-12,7.5
308,옥도,2015-03,7.3
308,옥도,2015-04,12.3
308,옥도,2015-05,16.8
